Collection No.,Subfamily,L or R,LL,LI,LM,WI,WD,TP,TI,TD
17P32A,,L,,33,38.38,,22.75,,18.77,
96P32A,,R,47.8,40.9,46.51,25.09,28.95,17.62,24.73,20.08
141P32A,,L,30.31,24.3,27.8,16.03,17.06,9.42,14.8,
1P33,,L,30.06,23.61,28.6,15.9,16.68,10.97,15.57,13.62
18P33A,,R,,31.68,37.9,20.68,24.25,,,
26P33A,,R,39.85,31.88,36.64,23.61,24.87,14.37,20.97,18.87
61P33A,,L,,28.84,33.1,20.39,21.8,,16.64,
6P34B,,R,30.32,25.45,29.71,19.01,18.6,11.35,16.45,14.3
15P34B,,L,36.77,28.98,33.15,21.12,21.86,12.5,19.5,17.45
16P34B,,L,30.33,24.33,28.33,17,17.98,9.01,15.43,12.98
46P34A,,L,30.5,24.43,28.3,15.22,15.7,9.38,14.62,11.7
55P34A,,L,33.44,27.03,31.19,19.64,20.29,12.1,17.8,
60P34A,,L,28.42,22.56,26.27,15.13,16.68,9.41,14.45,12.7
76P34A,,L,,36.23,40.78,25.88,26.92,,23.22,
77P34A,,L,35.13,28.1,32.13,20.54,21.12,11.07,18.73,14.35
93P34A,,L,,25.61,29.3,15.7,16.96,,16.16,13.2
112P34A,,L,33.27,27.27,31.64,19.06,19.86,11.21,16.95,
149P34A,,L,22,18.2,20.22,11.51,12.17,6.9,11.48,10.37
231P34A,,L,32.14,26.61,31.06,19.06,19.2,11.34,17.9,13.88
232P34A,,R,,32.23,35.64,21.49,21.35,13.34,,
233P34A,,R,,31.35,41.3,23.5,28.01,,21.67,
234P34A,,L,30.17,24.66,,,15.69,8.3,14.84,
2P36A,,R,33.87,28.1,31.76,19.86,19.91,12.3,16.56,13.69
17P36A,,L,51.44,40.75,47.85,26.31,27.63,16.82,27.11,
76P36A,,L,36.1,29.27,32.96,20.4,21.17,13.04,19.73,17.38
87P36A,,L,,26.53,31.04,17.37,19.72,,,
124P36A,,R,45.91,33.76,,,27.03,15.17,23.63,
135P36A,,R,30.4,,,,,8.99,,
8P49A,,L,33.98,27.78,32.96,20.13,21.33,11.3,17.45,14.49
38P49A,,R,34.96,27.94,33.07,21.76,21.12,10.19,18.53,
59P49A,,L,30.3,24.74,28.26,17.97,18.61,10.11,15.85,11.05
3P60A,,L,49.82,39.2,44.69,,29,18.27,,
12P60A,,L,44.5,34.34,40.5,23.7,25.86,14.33,21.61,16.65
47P60A,,L,19.17,15.94,18.03,11.53,10.52,6.47,10.24,
48P60A,,R,32.27,26.65,30.98,16.6,16.45,12.41,16.62,13.3
13P61A,,L,53.98,43.11,50.38,27.03,30.59,19.77,27.69,22.8
62P61A,,L,20.28,16.18,18,11.77,11.5,6.74,11.28,8.56
108P61A,,L,33.48,27.88,31.66,,19.96,12.06,17.18,14.9
13P62A,,R,31.19,26,29.8,16.49,18.52,11.52,16.12,13.48
